problemId,area,subArea,hasImage,images,text,matchedKeywords,notes
1,drug,,True,IMG_7759.jpg,不悬挂《药品经营许可证》,药品经营,
2,drug,,True,IMG_7763.jpg,设置检查日期为2023年3月21日，药证有效期至2022年10月20日,药证,
3,drug,,True,IMG_7766.jpg,药证经营范围无生物制品，经营生物制品,药证|生物制品,
4,nondrug,device,False,,无三类证经营三类医疗器械,医疗器械|三类证|三类,
5,nondrug,device,True,IMG_7764.jpg,经营二类医疗器械未备案,医疗器械|二类,
6,drug,,False,,质量负责人已离职，未变更药证,药证|质量负责人,
7,drug,,True,IMG_7763.jpg,药证地址为六楼，实际地址为九楼,药证,
8,nondrug,other,True,IMG_7766.jpg|IMG_7797.jpg,在营业场所外放置有大量药品,general-default,
9,drug,,True,IMG_7769.jpg|IMG_7776.jpg|IMG_7788.jpg,不悬挂药师证、执业药师证、执业药师注册证等药学技术人员从业证明,执业药师|药师证|药学技术,
10,nondrug,other,True,IMG_7769.jpg|IMG_7788.jpg,遮挡公示栏监督电话,general-default,
11,nondrug,other,True,IMG_7770.jpg|IMG_7785.jpg,不设置顾客意见簿,general-default,
12,drug,,False,,新质量管理人员不具药学技术职称条件,药学技术,
13,nondrug,device,True,IMG_7766.jpg|IMG_7788.jpg,医疗器械质量负责人不具备医疗器械相关专业,医疗器械,
14,drug,,True,IMG_7797.jpg,处方单上的处方审核员不具备执业药师资格,执业药师|处方,
15,drug,,False,,模拟检查时执业药师不在岗，但有必须凭处方销售的药品售出,执业药师|处方|必须凭处方,
16,nondrug,other,True,IMG_7797.jpg,无培训记录,general-default,
17,nondrug,other,True,IMG_7797.jpg,无从业人员健康管理制度,general-default,
18,nondrug,other,True,IMG_7769.jpg|IMG_7788.jpg|IMG_7797.jpg,无健康证明,general-default,
19,drug,,True,,港产药品放在货架上销售,港产药品,
20,drug,,False,,货架上的药品超过有效期,药品超过,
21,nondrug,device,True,,货架上的医疗器械超过有效期,医疗器械,
22,drug,,True,IMG_7772.jpg|IMG_7797.jpg,货架上的药品变质,药品变质,
23,drug,,False,,货架上有零售药店禁止经营的疫苗,疫苗|零售药店禁止经营,
24,nondrug,other,False,,存在药品分装、配制行为,unmatched-default,
25,nondrug,other,False,,药品从无药品批发资质公司购进,unmatched-default,
26,nondrug,other,False,,无供货者销售人员身份证复印件和加盖本企业公章的授权书原件，且资料无盖章,unmatched-default,
27,nondrug,other,False,,首营企业审批资料无盖公章,unmatched-default,
28,drug,,False,,拆零销售的药品无原包装,拆零,
29,drug,,False,,拆零销售的药品无说明书,拆零,
30,nondrug,other,False,,验收规定无包括对产品标签标识的查验规定,unmatched-default,
31,nondrug,other,False,,货单未验收且系统无验收记录,unmatched-default,
32,newretail,,True,IMG_7785.jpg,连锁门店与总部之间计算机网络未能实现实时信息传输和数据共享,网络|连锁门店|信息传输|数据共享,
33,newretail,,True,IMG_7770.jpg|IMG_7772.jpg|IMG_7785.jpg,连锁门店与配送中心之间计算机网络未能实现实时信息传输和数据共享,网络|连锁门店|配送中心|信息传输|数据共享,
34,nondrug,other,True,IMG_7768.jpg|IMG_7779.jpg,非药品放置在药品区域内,unmatched-default,
35,drug,,True,IMG_7798.jpg,阴凉储存药品未存放于阴凉柜内,阴凉,
36,drug,,True,IMG_7778.jpg|IMG_7798.jpg,非处方药放在处方药柜内,处方|非处方,
37,drug,,True,IMG_7778.jpg,非处方药柜无放置标签,处方|非处方,
38,drug,,False,,处方药开架销售,处方,
39,nondrug,other,False,,外用药与其他药品混放,unmatched-default,
40,drug,,False,,拆零药品没有集中存放于拆零专柜,拆零,
41,nondrug,other,True,IMG_7797.jpg,药袋无写明药品名称、规格、数量、用法、用量、批号、有效期以及药店名称等内容,unmatched-default,
42,drug,,True,IMG_7764.jpg,冷藏、冷冻药品未放置在冷藏设备中,冷藏,
43,drug,,True,IMG_7776.jpg|IMG_7780.jpg,无温湿度监测设备,温湿度,
44,drug,,False,,无温湿度监测调节设施,温湿度,
45,drug,,True,IMG_7797.jpg,无温湿度记录,温湿度,
46,nondrug,device,True,IMG_7770.jpg|IMG_7785.jpg,经营第三类医疗器械，无入系统,医疗器械|三类|入系统,
47,nondrug,device,True,IMG_7768.jpg,医疗器械专柜内有非医疗器械,医疗器械,
48,nondrug,device,False,,经营未经注册的医疗器械,医疗器械,
49,nondrug,other,True,IMG_7797.jpg,无签订质量协议,unmatched-default,
50,nondrug,other,True,IMG_7797.jpg,药品有进货单，无发票,unmatched-default,
51,nondrug,other,True,IMG_7797.jpg,进货单金额与发票金额不一致,unmatched-default,
52,nondrug,other,True,,药品销售凭证缺内容,unmatched-default,
53,nondrug,other,False,,白蛋白无冷链验收记录,unmatched-default,
54,nondrug,other,True,IMG_7797.jpg,白蛋白冷链温度不符合要求，显示验收,unmatched-default,
55,nondrug,other,True,IMG_7797.jpg,随货同行单货单内容不符合要求,unmatched-default,
56,nondrug,other,True,IMG_7797.jpg,没有陈列检查表,unmatched-default,
57,nondrug,other,True,IMG_7797.jpg,陈列检查内容不符合要求,unmatched-default,
58,nondrug,other,True,IMG_7797.jpg,不合格药品区有不合格药品，不能提供不合格药品的报告相关记录,unmatched-default,
59,nondrug,other,True,IMG_7797.jpg,不合格药品区有不合格药品，不能提供不合格药品的报损手相关记录,unmatched-default,
60,nondrug,other,True,IMG_7797.jpg,不合格药品区有不合格药品，不能提供不合格药品的销毁相关记录,unmatched-default,
61,drug,,True,IMG_7797.jpg,销售记录有销售抗生素，但未留存处方,处方,
62,nondrug,other,True,IMG_7776.jpg,白加黑未放在专区,unmatched-default,
63,nondrug,other,False,,未对公转账，转给私人,unmatched-default,
64,nondrug,other,True,,同时销售3盒给同一人,unmatched-default,
65,nondrug,other,True,,购买白加黑未登记,unmatched-default,
66,nondrug,device,False,,医疗器械随货同行单无注册证信息,医疗器械,
67,nondrug,other,False,,随货同行单未盖章,unmatched-default,
68,nondrug,device,True,IMG_7782.jpg,小票缺医疗器械的名称、规格（型号）、生产企业名称、数量、单价、金额、零售单位、经营地址、电话、销售日期其中一项内容,医疗器械,
69,nondrug,other,True,IMG_7782.jpg|IMG_7783.jpg,不能打印小票,unmatched-default,
70,nondrug,other,True,IMG_7797.jpg,药品验收不合格的无注明不合格事项及处置措施,unmatched-default,
71,nondrug,other,True,IMG_7797.jpg,有退货记录，无验收不合格记录,unmatched-default,
72,nondrug,other,True,,验收记录不完整,unmatched-default,
73,nondrug,other,True,IMG_7797.jpg,无药品追溯制度,unmatched-default,
74,nondrug,other,False,,有白蛋白，但未注册“放心扫码”平台,unmatched-default,
75,nondrug,other,True,IMG_7764.jpg,无药品不良反应监测制度、无记录表样式,unmatched-default,
76,nondrug,other,True,IMG_7797.jpg,有不良反应记录但无上报,unmatched-default,
77,nondrug,other,True,IMG_7797.jpg,无专职或兼职的不良事件监测人员的任命书,unmatched-default,
78,nondrug,device,True,IMG_7797.jpg,无医疗器械不良事件监测网注册信息及报告信息,医疗器械,
79,nondrug,other,True,IMG_7797.jpg,无召回制度,unmatched-default,
80,nondrug,other,True,IMG_7797.jpg,厂家召回后未配合召回，继续销售,unmatched-default,
81,nondrug,other,True,IMG_7797.jpg,有配合召回，但未作记录,unmatched-default,
82,nondrug,cosmetic,False,,无药品质量安全管理制度,质量安全管理制度,
83,nondrug,other,False,,无药品安全状况定期评价记录,unmatched-default,
84,nondrug,cosmetic,False,,无医疗器械质量安全管理制度,质量安全管理制度,
85,nondrug,device,True,IMG_7797.jpg,无医疗器械安全状况定期评价记录,医疗器械,
86,nondrug,other,True,IMG_7784.jpg,使用未经强制检定合格的电子秤,unmatched-default,
87,nondrug,other,False,,销售未经型式批准的电子血压计,unmatched-default,
88,nondrug,other,True,IMG_7797.jpg,个别标识标签未能规范使用国家法定计量单位,unmatched-default,
89,nondrug,other,False,,无建立设施设备校准（检定）记录档案,unmatched-default,
90,nondrug,food,False,,销售过期纸尿片产品,纸尿片,
91,nondrug,other,False,,销售三无产品,general-default,
92,nondrug,food,True,IMG_7794.jpg,侵犯注册商标专用权（新会陈皮）,陈皮,
93,nondrug,food,False,,销售假冒专利产品（削瓜器）,削瓜器,
